Record,New/Recap,Band Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,PCRsex,PCRMorph,last updated:,17-Nov-2023,by:,DR,
82,N,2831-20151,WTSP,W074,YEL/A,RW/YEL,22-Mar-21,M,WS,,,,,
83,N,2831-20152,WTSP,W075,ORG/A,RW/YEL,22-Mar-21,M,WS,,,,,
84,N,2831-20153,WTSP,W076,DKB/A,RW/YEL,22-Mar-21,M,TS,,,,,
85,N,2831-20154,WTSP,W077,GRN/A,RW/YEL,22-Mar-21,M,TS,,,,,
87,N,2831-20156,WTSP,W078,WHT/YEL,RW/A,24-Mar-21,M,TS,,,,,
88,N,2831-20157,WTSP,W079,WHT/A,RW/YEL,24-Mar-21,M,WS,,,,,
89,N,2831-20158,WTSP,W080,RED/A,RW/RED,24-Mar-21,F,WS,,,,,
90,N,2831-20159,WTSP,W081,YEL/A,RW/RED,24-Mar-21,M,TS,,,,,
95,N,2831-20160,WTSP,W082,ORG/A,RW/RED,28-Mar-21,F,WS,,,,,
96,N,2831-20161,WTSP,W083,DKB/A,RW/RED,28-Mar-21,F,TS,,,,,
97,N,2831-20162,WTSP,W084,GRN/A,RW/RED,28-Mar-21,M,WS,,,,,
98,N,2831-20163,WTSP,W085,WHT/A,RW/RED,28-Mar-21,F,TS,,,,,
99,N,2831-20003,WTSP,W091,RW/RW,ORG/A,03-Apr-21,F,TS,,,,,
103,N,2831-20164,WTSP,W086,BR/A,RW/RED,03-Apr-21,NA,NA,,,,,
104,N,2831-20165,WTSP,W087,RED/A,BW/YEL,03-Apr-21,F,TS,,,,,
105,N,2831-20166,WTSP,W088,YEL/A,BW/YEL,03-Apr-21,M,TS,,,,,
106,N,2831-20167,WTSP,W089,ORG/A,BW/YEL,03-Apr-21,M,WS,,,,,
107,N,2831-20168,WTSP,W090,DKB/A,BW/YEL,03-Apr-21,M,TS,,,,,
110,N,2831-20169,WTSP,W092,GRN/A,BW/YEL,04-Apr-21,M,WS,,,,,
111,N,2831-20170,WTSP,W093,WHT/A,BW/YEL,04-Apr-21,F,TS,,,,,
112,N,2831-20171,WTSP,W094,RED/A,BW/RED,04-Apr-21,F,WS,,,,,
113,N,2831-20172,WTSP,W095,YEL/A,BW/RED,04-Apr-21,M,WS,,,,,
115,N,2831-20173,WTSP,W096,ORG/A,BW/RED,07-Apr-21,M,WS,,,,,
116,N,2831-20174,WTSP,W097,DKB/A,BW/RED,07-Apr-21,M,TS,,,,,
118,N,2831-20175,WTSP,W098,GRN/A,BW/RED,09-Apr-21,M,TS,,,,,
121,N,2831-20176,WTSP,W099,WHT/A,BW/RED,01-May-21,F,TS,,,,,
122,N,2831-20177,WTSP,W100,BR/A,BW/RED,01-May-21,M,WS,,,,,
123,N,2831-20178,WTSP,W101,RED/A,YEL/RW,01-May-21,F,TS,,,,,
124,N,2831-20180,WTSP,W102,YEL/A,YEL/RW,01-May-21,F,TS,,,,,
125,N,2831-20181,WTSP,W103,ORG/A,YEL/RW,01-May-21,F,TS,,,,,
127,N,2831-20189,WTSP,W104,DKB/A,YEL/RW,06-Nov-21,F,TS,,,,,
128,N,2831-20190,WTSP,W105,GRN/A,YEL/RW,06-Nov-21,F,WS,,,,,
129,N,2831-20191,WTSP,W106,RED/A,YEL/BW,06-Nov-21,F,WS,,,,,
130,N,2831-20194,WTSP,W107,YEL/A,YEL/BW,09-Nov-21,M,TS,,,,,
132,N,2831-20196,WTSP,W108,DKB/A,YEL/BW,13-Nov-21,F,TS,,,,,
133,N,2831-20197,WTSP,W109,GRN/A,YEL/BW,13-Nov-21,M,TS,,,,,
134,N,2831-20199,WTSP,W110,WHT/A,YEL/BW,14-Nov-21,M,TS,,,,,
135,N,2771-10002,WTSP,W111,DKB/A,GY/DKB,20-Nov-21,F,WS,,,,,
136,N,2771-10003,WTSP,W112,DKB/A,GY/ORG,20-Nov-21,M,WS,,,,,
137,N,2771-10004,WTSP,W113,DKB/A,GY/WHT,20-Nov-21,M,WS,,,,,
138,N,2771-10005,WTSP,W114,DKB/A,GY/GRN,20-Nov-21,M,TS,,,,,
142,N,2771-10008,WTSP,W115,DKB/A,GY/YEL,24-Nov-21,F,TS,,,,,Killed by RSHA 10 Feb 23
