Record,New_Recap,BanderID,Band_Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,Season,Day,Month,Year,OrdDay,Time,Wing,Tail,Tarsus,Fat_Score,BirdMass,BirdAge,How_Aged,Eye,Skull,PCRsex,PCRMorph,Field_Morph,Band_Location,P4_Yes_No,R6_Yes_No,Blood_Yes_No,Images_Yes_No,Spec_Data,P4GenType,P4gen,R6gen,R6GenType,age_r6,age_a1,age_a2,age_a3,Latitude,Longitude,County,State,Comments
59,N,SW,2831-20126,WTSP,W054,GRN/WR,YEL/A,5-Mar-21,20.21,5,3,2021,64,1440,71,75,NA,2,27.8,SY,X,NA,NA,M,TS,NA,1616EAST,X,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,"based on recap: this is Rp5, not Rp4"
60,N,SW,2831-20127,WTSP,W055,GRN/WR,ORG/A,5-Mar-21,20.21,5,3,2021,64,1500,66,70,NA,5,25.4,SY,X,NA,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
61,N,SW,2831-20128,WTSP,W056,GRN/WR,DKB/A,5-Mar-21,20.21,5,3,2021,64,1520,76,75,NA,3,28.6,SY,X,NA,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
62,N,SW,2831-20130,WTSP,W057,GRN/WR,GRN/A,5-Mar-21,20.21,5,3,2021,64,1540,71,72,NA,3,28.3,SY,X,NA,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
63,N,SW,2831-20131,WTSP,W058,GRN/WR,WHT/A,5-Mar-21,20.21,5,3,2021,64,1550,75,75,NA,4,28.6,SY,X,NA,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
64,N,SW,2831-20132,WTSP,W059,ORG/WL,RED/A,5-Mar-21,20.21,5,3,2021,64,1550,74,71,NA,5,26.8,SY,X,NA,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
65,N,SW,2831-20133,WTSP,W060,ORG/WL,YEL/A,5-Mar-21,20.21,5,3,2021,64,1615,70,70,NA,3,25.3,SY,X,NA,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
66,N,SW,2831-20134,WTSP,W061,ORG/WL,ORG/A,5-Mar-21,20.21,5,3,2021,64,1650,73,75,NA,5,30.2,SY,X,NA,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
67,N,SW,2831-20135,WTSP,W062,ORG/WL,DKB/A,5-Mar-21,20.21,5,3,2021,64,1650,73,73,NA,4,27.3,SY,X,NA,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
68,N,SW,2831-20136,WTSP,W063,ORG/WL,GRN/A,5-Mar-21,20.21,5,3,2021,64,1650,68,68,NA,4,30.0,SY,X,NA,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
69,R,SW,2831-20117,WTSP,W047,WL/RED,RED/A,6-Mar-21,20.21,6,3,2021,65,1400,74,75,NA,3,28.1,SY,X,NA,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
